PULocationID,trip_count,avg_fare
1,227,90.962599
2,1,58.500000
3,98,44.795918
4,1527,17.973824
5,1,13.500000
6,9,5.452222
7,591,23.222927
8,16,44.156250
9,31,38.406452
10,506,67.748874
11,67,40.114925
12,250,25.217800
13,4585,21.967483
14,313,38.149776
15,41,40.873171
16,57,43.825088
17,453,30.666424
18,236,40.088559
19,63,77.477778
20,120,40.431500
21,143,38.707692
22,188,37.617021
23,6,36.183333
24,2213,15.050081
25,492,28.647053
26,197,32.352284
27,2,59.250000
28,171,47.015848
29,152,44.660526
30,1,66.500000
31,17,44.500000
32,176,41.824432
33,525,29.647943
34,53,27.830755
35,626,33.553914
36,208,29.308173
37,459,31.942179
38,101,51.850099
39,672,36.736756
40,98,25.774592
41,2639,19.283827
42,1821,25.784272
43,14781,14.620104
45,1527,21.774964
46,10,49.900000
47,195,37.377436
48,23553,15.094834
49,398,30.042337
50,4494,16.130821
51,339,45.464602
52,139,26.020863
53,57,35.740000
54,29,33.490000
55,475,46.238105
56,206,40.715680
57,7,46.742857
58,20,44.505000
59,10,39.120000
60,120,41.966667
61,957,31.780021
62,295,29.947661
63,195,33.897026
64,31,26.151613
65,592,29.411605
66,533,26.948987
67,86,37.946977
68,25105,16.163038
69,434,34.052304
70,2755,43.114399
71,405,32.244716
72,480,32.230771
73,29,37.124138
74,2405,20.114416
75,6326,16.747803
76,1139,35.712028
77,301,35.933355
78,289,38.739446
79,20786,14.324821
80,346,32.889075
81,146,45.423288
82,224,36.550268
83,107,41.930841
84,1,119.200000
85,224,29.850982
86,299,53.147525
87,4145,22.376555
88,2529,24.269771
89,633,33.292543
90,14194,13.854851
91,495,35.398586
92,184,43.940217
93,124,67.253710
94,117,40.034615
95,340,41.051382
96,24,50.899583
97,646,27.123034
98,52,51.032692
99,1,123.000000
100,14346,16.064999
101,48,60.402083
102,59,34.860000
105,1,52.000000
106,88,35.520455
107,17816,14.010404
108,162,44.556173
109,1,49.500000
111,1,45.500000
112,243,26.890905
113,12345,13.759984
114,13256,14.550717
116,767,23.912490
117,335,51.069851
118,2,21.250000
119,226,34.389159
120,8,33.912500
121,147,39.708027
122,75,45.520000
123,175,33.600000
124,108,47.104630
125,3899,16.247671
126,116,37.537069
127,222,29.532027
128,25,37.580000
129,443,41.419616
130,466,45.586438
131,87,43.336782
132,65081,61.066039
133,93,30.451613
134,166,60.358795
135,99,39.957576
136,158,37.125316
137,10505,14.859728
138,34183,43.097660
139,111,49.663063
140,20970,14.689743
141,24850,12.188502
142,33698,13.473683
143,10114,13.264382
144,9425,16.072377
145,1004,32.263805
146,458,24.570393
147,115,36.473043
148,9060,16.828459
149,130,33.364615
150,77,39.446753
151,7545,14.018329
152,488,20.453873
153,41,39.341463
154,13,40.107692
155,221,35.567421
157,138,51.171667
158,7021,15.992940
159,307,32.198339
160,74,36.622838
161,44209,15.682618
162,33479,14.820868
163,27054,15.597825
164,19013,15.589574
165,206,33.385437
166,3506,16.175445
167,254,34.885433
168,381,30.761654
169,191,34.205183
170,24679,15.111206
171,58,40.434483
172,2,23.330000
173,55,36.495273
174,189,42.448677
175,28,47.357143
176,1,49.500000
177,412,34.411481
178,51,30.433333
179,236,26.539788
180,81,39.695556
181,394,30.277157
182,316,37.991456
183,45,40.320000
184,4,35.750000
185,133,39.711053
186,37251,15.890097
188,620,31.506500
189,156,28.515064
190,41,30.290244
191,226,47.220752
192,30,35.160000
193,427,20.452881
194,49,49.212245
195,286,45.144510
196,162,44.865556
197,362,61.109641
198,164,31.130915
200,112,42.566071
201,75,54.681333
202,145,36.325241
203,125,54.419200
205,300,43.812333
206,4,71.300000
207,100,39.896300
208,112,39.280357
209,1443,22.182211
210,288,43.180625
211,6818,15.943539
212,124,36.632258
213,356,36.494101
214,2,0.010000
215,306,51.425098
216,688,72.691148
217,113,33.231858
218,271,46.912030
219,280,62.663286
220,183,38.061749
221,2,62.100000
222,330,37.365455
223,368,46.995625
224,968,15.388636
225,553,31.607776
226,963,46.164486
227,143,35.607692
228,230,35.826826
229,16440,13.121063
230,33749,18.596475
231,11124,17.979303
232,1166,23.083868
233,9214,16.071262
234,24493,13.805529
235,311,36.282315
236,45712,12.568664
237,49536,12.064167
238,19126,13.620391
239,27598,13.212206
240,30,39.653333
241,192,38.946875
242,170,44.173529
243,365,31.721397
244,934,28.348640
245,2,86.750000
246,16969,15.526555
247,273,30.741758
248,149,36.680537
249,19072,14.238302
250,172,36.657558
251,1,80.000000
252,55,39.143636
253,2,64.000000
254,348,44.169828
255,371,23.105175
256,347,29.176081
257,72,37.097500
258,126,36.465397
259,196,45.875969
260,279,38.543548
261,4134,22.913902
262,13244,13.704740
263,19666,12.462982
264,1554,21.046937
265,622,97.962990
